task_id,instance_id
030,030_1559
030,030_1529
030,030_1169
030,030_1175
030,030_1410
030,030_1617
030,030_1633
030,030_1560
030,030_1077
030,030_985
030,030_1532
030,030_997
030,030_1457
030,030_1583
030,030_1305
030,030_1418
030,030_1480
030,030_1141
030,030_998
030,030_1022
031,031_1834
031,031_2341
031,031_1857
031,031_1861
031,031_2576
031,031_1806
031,031_2107
031,031_2063
031,031_2441
031,031_2235
031,031_2156
031,031_2384
031,031_2001
031,031_2039
031,031_2650
031,031_2407
031,031_1962
031,031_1839
031,031_2258
031,031_2186
032,032_136
032,032_473
032,032_302
032,032_299
032,032_480
032,032_663
032,032_610
032,032_634
032,032_596
032,032_188
032,032_288
032,032_155
032,032_566
032,032_2
032,032_276
032,032_75
032,032_403
032,032_785
032,032_647
032,032_216
033,033_276
033,033_796
033,033_667
033,033_655
033,033_838
033,033_142
033,033_822
033,033_858
033,033_463
033,033_833
033,033_97
033,033_578
033,033_91
033,033_17
033,033_68
033,033_427
033,033_311
033,033_586
033,033_376
033,033_707
034,034_57053
034,034_45184
034,034_29761
034,034_27353
034,034_57303
034,034_23954
034,034_5480
034,034_42033
034,034_19459
034,034_37241
034,034_42262
034,034_19713
034,034_9652
034,034_16575
034,034_35833
034,034_968
034,034_29702
034,034_39065
034,034_11752
034,034_21826
035,035_47618
035,035_1530
035,035_46441
035,035_30588
035,035_11777
035,035_25007
035,035_6263
035,035_25712
035,035_31849
035,035_55842
035,035_1790
035,035_9401
035,035_55901
035,035_60
035,035_1871
035,035_57159
035,035_19199
035,035_832
035,035_39723
035,035_49170
036,036_46851
036,036_1894
036,036_9545
036,036_53726
036,036_2130
036,036_40242
036,036_28565
036,036_15810
036,036_12599
036,036_44438
036,036_55005
036,036_39034
036,036_18617
036,036_10038
036,036_10507
036,036_21291
036,036_76
036,036_44850
036,036_62256
036,036_7381
037,037_23334
037,037_42042
037,037_57129
037,037_56944
037,037_46754
037,037_38525
037,037_49191
037,037_59469
037,037_22993
037,037_21406
037,037_20455
037,037_34435
037,037_47586
037,037_44105
037,037_60763
037,037_24258
037,037_10843
037,037_55938
037,037_27545
037,037_23224
038,038_29382
038,038_1392
038,038_3956
038,038_54067
038,038_14611
038,038_42215
038,038_35152
038,038_40588
038,038_12700
038,038_23274
038,038_57601
038,038_3882
038,038_55959
038,038_56617
038,038_51453
038,038_46400
038,038_52696
038,038_25001
038,038_1285
038,038_47981
039,039_52330
039,039_36291
039,039_28657
039,039_14752
039,039_51150
039,039_39788
039,039_25459
039,039_10945
039,039_4821
039,039_33729
039,039_47827
039,039_27311
039,039_9048
039,039_41652
039,039_24152
039,039_432
039,039_35600
039,039_19947
039,039_15934
039,039_1118
040,040_43457
040,040_14369
040,040_53706
040,040_15775
040,040_15457
040,040_56387
040,040_47841
040,040_30633
040,040_41922
040,040_4770
040,040_40292
040,040_6478
040,040_2320
040,040_62571
040,040_35895
040,040_38626
040,040_35828
040,040_24718
040,040_3552
040,040_17190
041,041_26120
041,041_521
041,041_52071
041,041_16795
041,041_3423
041,041_27688
041,041_32510
041,041_37845
041,041_4176
041,041_45391
041,041_56762
041,041_8820
041,041_53801
041,041_47225
041,041_27842
041,041_27189
041,041_61388
041,041_53661
041,041_46749
041,041_5531
