uid,generation,generation_time
030_1483,"Murray verlor den ersten Satz in einem Tie-Break, nachdem beide Männer jeden einzelnen Aufschlag in diesem Satz gehalten hatten. Del Potro hatte im zweiten Satz den frühen Vorteil, aber auch dieser erforderte einen Tie-Break, nachdem er 6-6 erreicht hatte. Potro erhielt zu diesem Zeitpunkt eine Behandlung für seine Schulter, konnte aber ins Spiel zurückkehren.",0.9640655517578125
030_1426,"""Felicia, einst ein Sturm der Kategorie 4 auf der Saffir-Simpson-Hurrikan-Skala, schwächte sich zu einer tropischen Depression ab, bevor sie am Dienstag verschwand. Ihre Überreste sorgten für Schauer über die meisten der Inseln, obwohl bisher keine Schäden oder Überschwemmungen gemeldet wurden. Der Niederschlag, der an einem Messgerät auf Oahu 6,34 Zoll erreichte, wurde als """"nützlich"""" beschrieben. Ein Teil des Regens ging mit Gewittern und häufigem Blitzlicht einher.""",1.2376699447631836
030_1062,"Die Babylonier bauten für jeden ihrer Götter einen Haupttempel, der als das Zuhause des Gottes galt. Die Menschen brachten Opfergaben zu den Göttern, und die Priester versuchten, die Bedürfnisse der Götter durch Zeremonien und Feste zu erfüllen. Jeder Tempel hatte einen offenen Tempelhof und dann ein inneres Heiligtum, das nur die Priester betreten konnten. Manchmal wurden spezielle pyramidenförmige Türme, die Ziggurats genannt wurden, als Teil der Tempel erbaut. Die Spitze des Turms war ein besonderes Heiligtum für den Gott.",1.3082211017608643
030_1290,"Bobek wurde in der kroatischen Hauptstadt Zagreb geboren und erlangte Ruhm, während er für Partizan Belgrad spielte. Er trat 1945 dem Team bei und blieb bis 1958. Während seiner Zeit bei der Mannschaft erzielte er 403 Tore in 468 Einsätzen. Niemand sonst hat jemals mehr Einsätze oder Tore für den Verein erzielt als Bobek. Im Jahr 1995 wurde er zum besten Spieler in der Geschichte von Partizan gewählt.",1.3228764533996582
030_962,"In den Vereinigten Staaten von Amerika gibt es schätzungsweise 400.000 bekannte Fälle von Multipler Sklerose (MS), was sie zur führenden neurologischen Erkrankung bei jungen und mittelalten Erwachsenen macht. MS ist eine Krankheit, die das zentrale Nervensystem betrifft, das aus dem Gehirn, dem Rückenmark und dem Sehnerv besteht. Untersuchungen haben ergeben, dass Frauen doppelt so häufig an MS erkranken wie Männer.",1.0059242248535156
030_1769,"Zu Hause, aufgrund dieser ständigen Exposition gegenüber den lokalen Keimen, ist die Wahrscheinlichkeit sehr hoch, dass du bereits immun gegen sie bist. In anderen Teilen der Welt, wo die bakterielle Fauna neu für dich ist, ist es jedoch viel wahrscheinlicher, dass du auf Probleme stößt. Außerdem wachsen Bakterien in wärmeren Klimazonen sowohl schneller als auch überleben länger außerhalb des Körpers. So die Plagen von Delhi-Bauch, dem Fluch des Pharao, Montezumas Rache und ihren vielen Freunden. Wie bei Atemproblemen in kälteren Klimazonen sind auch Magen-Darm-Probleme in heißen Klimazonen ziemlich häufig und in den meisten Fällen deutlich lästig, aber nicht wirklich gefährlich.",1.302736520767212
030_1283,"NextGen ist ein System, das die FAA behauptet, würde es Flugzeugen ermöglichen, kürzere Routen zu fliegen und Millionen von Gallonen Kraftstoff pro Jahr zu sparen sowie die Kohlenstoffemissionen zu reduzieren. Es verwendet satellitengestützte Technologie im Gegensatz zur älteren bodenradarbasierten Technologie, um den Fluglotsen zu ermöglichen, Flugzeuge mit größerer Präzision zu lokalisieren und den Piloten genauere Informationen zu geben.",1.0697119235992432
030_1547,"Bitte denken Sie daran, dass Sie im Wesentlichen einen Massengrabstandort besuchen, der zudem eine fast unermessliche Bedeutung für einen bedeutenden Teil der Weltbevölkerung hat. Es leben noch viele Männer und Frauen, die ihre Zeit hier überlebt haben, und noch viele mehr, die Angehörige hatten, die dort ermordet oder zu Tode gearbeitet wurden, sowohl Juden als auch Nicht-Juden. Bitte behandeln Sie den Ort mit all der Würde, Ernsthaftigkeit und dem Respekt, den er verdient. Machen Sie keine Witze über den Holocaust oder die Nazis. Beschädigen Sie den Ort nicht, indem Sie Graffiti in die Strukturen ritzen oder markieren.",1.3270032405853271
030_1796,"Es sei denn, Sie sind ein Diplomat, bedeutet Arbeiten im Ausland in der Regel, dass Sie Einkommensteuer in dem Land, in dem Sie ansässig sind, einreichen müssen. Die Einkommensteuer ist in verschiedenen Ländern unterschiedlich strukturiert, und die Steuersätze und -stufen variieren von einem Land zum anderen erheblich. In einigen Bundesstaaten, wie den Vereinigten Staaten und Kanada, wird die Einkommensteuer sowohl auf Bundesebene als auch auf lokaler Ebene erhoben, sodass die Sätze und Stufen von Region zu Region variieren können.",1.2354810237884521
030_1012,"Die Schlafunterbrechung ist der Prozess des absichtlichen Erwachens während Ihrer normalen Schlafzeit und des schnellen Wieder-Einschlafens (10–60 Minuten später). Dies kann leicht erreicht werden, indem man einen relativ leisen Wecker verwendet, um das Bewusstsein zu erlangen, ohne vollständig wach zu werden. Wenn Sie feststellen, dass Sie den Wecker im Schlaf zurückstellen, kann er auf die andere Seite des Raumes gestellt werden, sodass Sie aufstehen müssen, um ihn auszuschalten. Andere auf dem Biorhythmus basierende Optionen beinhalten das Trinken von viel Flüssigkeit (insbesondere Wasser oder Tee, ein bekanntes Diuretikum) vor dem Schlafengehen, was dazu zwingt, aufzustehen, um zu urinieren.",1.4128599166870117
