task_id,instance_id,query,instruction,context,answers
034,034_51686,"Read the following passage, and follow the given steps.","{""1"": ""Read through the given text and translate it to German."", ""2"": ""Summarize the text you have translated it step#1.""}","{""1_0"": ""###Text\nThere are some medications that have been associated with high creatinine levels. Medications that can damage the kidneys pose a possible threat, but some medications used to treat kidney disease can also cause a problem.  If you already have kidney problems, be cautious about medications, like ibuprofen, that can cause further kidney damage when used regularly. ACE inhibitors and cyclosporine are both used to treat kidney disease but may cause creatinine levels to rise.  Some nutritional supplements, like vanadium, can also cause an increase in creatinine levels and should be avoided. Always talk to your doctor before stopping any medication. While some of these medications may cause creatinine to rise, the good could still outweigh the bad depending on why those medications were prescribed to begin with. Depending on the underlying cause of your elevated creatinine levels and on your overall health, your doctor may advise you to include certain medications or supplements to bring those levels down. Most medications that treat creatinine levels also treat an underlying problem causing an increase in those levels, so your doctor will have to diagnose the underlying condition before you can determine which medication is right for you. One common cause of kidney damage, and thus elevated creatinine levels, is diabetes. If you have diabetes, it is very important to keep your insulin levels normal to prevent further kidney damage. There are certain medications that you can take to do this. Repaglinide is a commonly prescribed for diabetes. The starting dose is normally 0.5 milligrams, administered before each meal. The maximum dose is 4 milligrams, also administered before a meal. Even if you happen to skip a meal, it is important to administer the drugs. Aside from diabetes, hypertension is another factor that can contribute to kidney damage. Keeping your blood pressure under control will also help to prevent further damage to your kidneys, thus helping to lower your creatinine levels. Your doctor may prescribe benazepril and hydrochlorothiazide. Normal benazepril dosages are generally between 10 and 80 milligrams a day. The usual dosage of hydrochlorothiazide is between 12.5 and 50 milligrams a day. People with kidney disease need to take smaller amounts of antibiotics than people with healthy kidneys. Ketosteril is often prescribed to reduce levels of creatinine found in the bloodstream. Talk to your doctor about this medication and if it may be right for you. The regular dose is generally 4 to 8 tablets taken three time a day, at each meal. Other creatinine lowering drugs include:  Alpha lipoic acid (antioxidants) supplements can be used to help energize the kidneys and neutralize toxins, including creatinine. You can usually take around 300 mg each day.  Chitosan is a weight management supplement that can also reduce the amount of creatinine in the blood. Benefits are usually reached when you take between 1000 and 4000 mg per day.""}","[""Es gibt Medikamente, die mit erhöhten Kreatininwerten in Verbindung gebracht werden. Medikamente, die die Nieren schädigen können, stellen eine mögliche Gefahr dar, aber manche Medikamente, die zur Behandlung von Nierenerkrankungen benutzt werden, können auch Probleme verursachen.  Wenn du bereits ein Nierenproblem hast, sei vorsichtig mit Medikamenten wie Ibuprofen, das weitere Nierenschäden verursachen kann, wenn es regelmäßig eingenommen wird. ACE Hemmer und Ciclosporin werden beide benutzt, um Nierenerkrankungen zu behandeln, können aber dazu führen, dass der Kreatininwert steigt.  Einige Nahrungsergänzungsmittel, wie z.B. Vanadium, können ebenso einen Anstieg des Kreatininwertes verursachen und sollten daher gemieden werden. Sprich immer zuerst mit deinem Arzt, bevor du aufhörst, ein Medikament zu nehmen. Obwohl manche Medikamente das Kreatinin erhöhen, können diese trotzdem mehr Gutes als Schlechtes bewirken, weshalb sie auch von Anfang an verschrieben wurden. Je nachdem, was der Grund für deine erhöhten Kreatininwerte ist und wie dein allgemeiner Gesundheitszustand ist, wird dir dein Arzt empfehlen, bestimmte Medikamente oder Nahrungsergänzungsmittel einzunehmen, um diese Werte zu senken. Die meisten Medikamente, die den Kreatininwert behandeln, kurieren auch die eigentliche Ursache, die zu den erhöhten Werten führt, daher muss dein Arzt zunächst die eigentliche Erkrankung diagnostizieren, bevor er entscheidet, welches Medikament für dich das richtige ist. Eine häufige Ursache von Nierenschäden und daraus resultierenden hohen Kreatininwerten ist Diabetes. Wenn du Diabetes hast, ist es sehr wichtig, normale Insulinwerte aufrecht zu erhalten, um weitere Nierenschäden zu verhindern. Du kannst verschiedene Medikamente nehmen, um dies zu gewährleisten.  Repaglinid wird oft als hypoglykämisches Medikament verschrieben. Die Anfangsdosis liegt normalerweise bei 0.5 Milligramm, die vor jeder Mahlzeit eingenommen werden. Die maximale Dosis ist 4 Milligramm, die ebenso vor dem Essen eingenommen wird. Selbst wenn du mal ein Essen ausfallen lässt, ist es wichtig, die Medikamente trotzdem einzunehmen. Außer Diabetes ist Bluthochdruck ein Faktor, der zu Nierenschäden beitragen kann. Indem du deinen Blutdruck unter Kontrolle hast, kannst du weiteren Nierenschäden vorbeugen und dabei die Kreatininwerte senken.  Dein Arzt wird dir womöglich Benazepril und Hydrochlorothiazid verschreiben. Die normale Benazepril-Dosis liegt zwischen 10 und 80 Milligramm pro Tag.. Die übliche Dosis Hydrochlorothiazid liegt zwischen 12.5 und 50 Milligramm pro Tag. Menschen mit Nierenerkrankungen müssen weniger Antibiotika einnehmen als gesunde. Ketosteril wird oftmals verschrieben, um die Kreatininwerte im Blutkreislauf zu reduzieren. Sprich mit deinem Arzt über dieses Medikament, um zu sehen, ob es für dich geeignet ist. Die reguläre Dosis liegt normalerweise bei 4 bis 8 Tabletten, die dreimal am Tag zu jeder Mahlzeit eingenommen werden. Weitere Medikamente, die Kreatinin senken, sind:   Alpha-Liponsäure-Ergänzungen können verwendet werden, um den Nieren neue Energie zuzuführen und Giftstoffe, inklusive Kreatinin, zu neutralisieren. Du kannst normalerweise ungefähr 300 mg pro Tag nehmen.  Chitosan ist ein Nahrungsergänzungsmittel, das zur Gewichtskontrolle verwendet wird und das auch die Kreatininmenge im Blut reduzieren kann. Normalerweise nutzt dieses dann etwas, wenn du zwischen 1000 und 4000 mg pro Tag einnimmst."", ""Frage deinen Arzt, ob du gewisse Medikamente nicht länger einnehmen solltest. Nimm Medikamente und Nahrungsergänzungen, die helfen können. Nimm hypoglykämische Medikamente. Senke deinen Blutdruck mit Medikamenten. Einige Antibiotikas können gefährlich sein, wenn sie unsachgemäss eingenommen werden. Nimm Medikamente, die hohe Kreatininwerte senken.""]"
038,038_38669,"Read the following passage, and follow the given steps.","{""1"": ""Summarize the given text. Do not change the language."", ""2"": ""Translate the text you have summarized in step#1 to German.""}","{""1_0"": ""###Text\nA thick yogurt, like Greek yogurt, works best. Simply add a small amount of yogurt, like a spoonful, at a time. Stir your yogurt into the curry and keep adding a little more at a time until it reaches your desired thickness. This is great for Indian-style curries as a cream substitute. It can also come in handy if your curry is a little spicier than you would like, as it can cool your curry down. This works best for curries that are already tomato-based, as it won't affect the flavor too much. Tomato puree is usually thicker than paste and has a slightly stronger flavor. Mix in a small amount of tomato puree or paste into the curry. Add a little at a time until the curry gets as thick as you want.  If you don't have puree or paste, you can try diced tomatoes. For best results, add tomatoes or tomato puree during the cooking process rather than after. If you're cooking with potatoes, try mashing them after the curry is cooked. This is a simple way to thicken the curry without potentially damaging or diluting the flavor. Sometimes, a few mashed potatoes can make for a thicker curry.""}","[""Mix in unflavored yogurt. Try tomato paste or puree. Mash the potatoes already in your curry."", ""Misch Naturjoghurt unter das Curry. Probiere passierte Tomaten oder Tomatenmark aus. Püriere die sich bereits im Curry befindlichen Kartoffeln.""]"
039,039_28657,"Read the following passage, and follow the given steps.","{""1"": ""Summarize the given text. Do not change the language."", ""2"": ""Translate the text you have summarized in step#1 to English.""}","{""1_0"": ""###Text\nDu solltest es nur während der Reinigung mit den Fingern berühren. Wenn du das Piercing doch anfasst, wasch dir zunächst gründlich die Hände. Je weniger Kontakt deine Hände mit dem Piercing haben, desto geringer ist das Risiko einer Infektion. Wenn du Waschgel oder Feuchtigkeitspflege verwendest, dann am besten nicht direkt um dein Piercing herum. Außerdem solltest du sanftere Produkte als normal benutzen, die nur natürliche Stoffe enthalten sollten. Verwende nichts mit Alkohol oder Peroxid. Zudem solltest du die Finger von parfümierten Produkten lassen. Meide solche Produkte etwa sechs Wochen lang, denn so lange dauert die erste Heilungsphase des Piercings. Halt dich von Seen und Pools fern, solange dein Piercing noch frisch ist Auch in Pools mit Chlor gibt es noch reichlich Bakterien, die in dein Piercing geraten und Komplikationen verursachen können. Nach vier bis sechs Wochen kannst du wieder schwimmen gehen, dann sollte das Schlimmste vorbei sein. Zu diesem Zeitpunkt sollte sich keine Kruste mehr bilden und das Piercing sollte nicht mehr schmerzen.""}","[""Fass das Piercing nicht an. Benutz besonders sanfte Produkte für dein Gesicht. Geh nicht schwimmen, bis dein Piercing nicht abgeheilt ist."", ""Avoid touching the piercing. Use gentler products on your face. Do not swim until your piercing has healed.""]"
035,035_29581,"Read the following passage, and follow the given steps.","{""1"": ""Read through the given text and translate it to English."", ""2"": ""Summarize the text you have translated it step#1.""}","{""1_0"": ""###Text\nDu brauchst Zeichenpapier, Einweg-Pappbecher, Spanholz oder Pappe, Klebstoff, ein Bastelmesser und in lange Streifen geschnittenes Papierklebeband. Außerdem brauchst du eine Methode, um das Papierklebeband zu befeuchten, ohne es zu durchtränken, wie etwa einen neuen sauberen Küchenschwamm. Dekorative Materialien, wie etwa Acrylfarbe, sind optional.  Denke daran, das die Größe der Becher, die du wählst, teilweise die Größe deiner Buchstaben bestimmt. Wie groß deine Becher sind., entspricht grob der Dicke deiner Buchstaben. Genauso musst du jeden Teil deines Buchstabens mindestens so breit wie die Öffnung deiner Becher machen. Benutze das Zeichenpapier, um deine Ideen zu skizzieren. Zeichne einen Buchstaben, der an jeder Stelle mindestens so breit wie die Öffnung deiner Becher ist. Kümmere dich nicht darum, Fehler wegzuradieren oder es ordentlich zu machen. Dieses Papier wird nicht in deinen fertigen Buchstaben eingebaut. Schneide deinen Buchstaben entweder mit deinem Bastelmesser oder einer Schere aus, wenn du mit seinem Design und seiner Größe zufrieden bist. Schneide deinen Buchstaben mit einem Bastelmesser aus. Mache es zweimal, so dass du zwei identische Ausgaben des Pappbuchstaben hast. Achte darauf, dass die beiden Buchstaben perfekt aneinander ausgerichtet sind. Schichte die Becher richtig und falsch herum auf, um sie so dicht wie möglich zu packen. Je mehr Becher du benutzt, desto stabiler wird dein fertiger Buchstabe. Lasse keinen Teil der Becher über den Rand des Buchstabens hinausragen. Warte, bis der Klebstoff am ersten Buchstaben trocken ist. Achte darauf, deinen zweiten Buchstaben perfekt auszurichten, wenn du ihn festklebst. Lasse den Klebstoff vollständig trocknen, bevor du fortfährst. Nimm einen Papierstreifen und befeuchte seine Klebeseite. Wickle ihn fest um deinen Buchstaben herum, so dass er sowohl an der oberen, als auch an der unteren Pappseite klebt. Wiederhole es mit weiteren Papierstreifen, einen nach dem anderen. Fahre damit fort, bis dein Buchstabe vollständig in mindestens zwei Lagen Klebeband eingewickelt ist. Du könntest dich dazu entschließen, Acryl-Weißgrundierung aufzutragen, um dir eine weiße Oberfläche zu verschaffen, auf der du arbeiten kannst, und die Klebebandränder vollständig zu versiegeln. Du kannst mit den meisten Medien über dieser Schicht malen oder zeichnen. Falls du mehrere Buchstaben anfertigst, versuche, sie ähnlich zu dekorieren, um ein Thema zu kreieren.""}","[""You will need drawing paper, disposable paper cups, chipboard or cardboard, glue, a hobby knife, and adhesive paper tape cut into long strips. You will also need a method of dampening the paper tape without soaking it, such as a new clean kitchen sponge. Decorative materials, such as acrylic paint, are optional. Keep in mind that the size of the cups that you choose will partially determine the size of your letters. How tall your cups are will roughly correspond with how thick your letters will be. Likewise, you will need to make each portion of your letter at least as wide as the mouth of your cups. Use the drawing paper to sketch out your ideas. Draw a letter that is at least the width of your cups' mouth in all areas. Don't worry about erasing mistakes or making it neat; this paper will not be incorporated into your finished letter. Once you're happy with your letter's design and size, cut it out using either your hobby knife or a pair of scissors. Cut your letter out using a hobby knife. Do this twice so that you have two identical copies of the cardboard letter. Make sure that the two letters line up perfectly. Stagger the cups right side up and upside-down to pack them in as tight as possible. The more cups you use, the more structurally sound your final letter will be. Do not allow any part of the cups to go over the edge of the letter. Wait for the glue on the first letter to dry. Make sure to line up your second letter perfectly when gluing. Allow the glue to dry completely before moving on. Take a paper strip and moisten its adhesive. Wrap it tightly around your letter so that it sticks to both the top and bottom cardboard faces. Repeat with more paper strips, one by one. Continue until your letter has been completely wrapped in at least two layers of adhesive tape. You may choose to apply acrylic gesso to give you a white surface to work on and to seal the tape edges completely. You can paint or draw over this layer using most types of media. If you are making multiple letters, try to decorate them similarly to create a theme."", ""Gather your materials. Draw your letter on paper and cut it out. Trace your letter cutout onto either cardboard or chipboard. Glue paper cups to the cardboard letters. Glue the second letter onto the opposite ends of the cups. Cover the letter with paper tape. Decorate your letter as desired before display.""]"
032,032_647,"Read the following passage, and follow the given steps.","{""1"": ""Transate the given text to French."", ""2"": ""Based on the text you have translated in step#1 and solve the question. Return the answer in <task2>N<task2/> format.""}","{""1_0"": ""###Text\nAuxiliary languages are artificial or constructed languages created with the intent of facilitating communication between peoples who would otherwise have difficulty communicating. They are separate from lingua francas, which are natural or organic languages that become dominant for one reason or another as means of communication between speakers of other languages."", ""2_0"": ""###Question:\nQuelle affirmation ne décrit pas correctement les langues auxiliaires ?"", ""2_1"": ""###Options:\n1. Ce sont des langues organiques utilisées pour faciliter la communication entre des gens qui autrement ne se comprendraient pas\n2. Ce sont des langues qui sont à la fois naturelles et construites\n3. Ce sont des langues construites pour améliorer les scénarios dans lesquels la communication est difficile \n4. Ce sont des langues créées comme dominantes entre des locuteurs parlant différentes langues""}","[""Les langues auxiliaires sont des langues, artificielles ou construites, créées dans le but de faciliter la communication entre des peuples qui, autrement, auraient des difficultés à communiquer. Elles sont distinctes des langues véhiculaires, qui sont des langues naturelles ou organiques qui deviennent dominantes pour une raison ou une autre en tant que moyen de communication entre les locuteurs d'autres langues."", ""3""]"
033,033_618,"Read the following passage, and follow the given steps.","{""1"": ""Transate the given text to English."", ""2"": ""Based on the text you have translated in step#1 and solve the question. Return the answer in <task2>N<task2/> format.""}","{""1_0"": ""###Text\nLes célèbres avocats grecs, Sakis Kechagioglou et George Nikolakopoulos, ont été incarcérés dans la prison de Korydallus à Athènes après avoir été reconnus coupables de pots-de-vin et de corruption. À la suite de cela, la révélation des actions illégales que les juges, les avocats, les solliciteurs et les procureurs avaient commises au cours des années précédentes fit un grand scandale au sein de la communauté juridique grecque. Il y a de cela quelques semaines, après les informations publiées par le journaliste Makis Triantafylopoulos dans son émission de télévision populaire « Zoungla » sur Alpha TV, l'avocat et membre du parlement, Petros Mantouvalos, a été démis de ses fonctions du fait de l'implication des membres de son cabinet dans des affaires de corruption et de pots-de-vin. En outre, le juge en chef, Evangelos Kalousis, a été emprisonné après avoir été reconnu coupable de corruption et de malversations."", ""2_0"": ""###Question:\nWhich group of people is not mentioned as being part of the scandal within the Greek legal community?"", ""2_1"": ""###Options:\n1. Solicitors\n2. Judges\n3. Journalists\n4. Attorneys""}","[""\""The famous Greek lawyers, Sakis Kechagioglou and George Nikolakopoulos have been imprisoned in the Athens' jail of Korydallus, as they were found guilty of graft and corruption. As a result of this, a big scandal within the Greek legal community has been raised through the exposure of illegal actions that judges, lawyers, solicitors and attorneys have done during the previous years. A few weeks ago, after the information published by the journalist Makis Triantafylopoulos in his popular Television show \""\""Zoungla\""\"" in Alpha TV, the member of Parliament and lawyer, Petros Mantouvalos was abdicated as members of his office had been involved in illegal graft and corruption. Moreover, top judge Evangelos Kalousis is imprisoned as he found guilty of corruption and degenerate behaviour.\"""", ""3""]"
030,030_1532,"Read the following passage, and follow the given steps.","{""1"": ""Transate the given text to German."", ""2"": ""Based on the text you have translated in step#1 and solve the question. Return the answer in <task2>N<task2/> format.""}","{""1_0"": ""###Text\nCourier companies are well paid for delivering things quickly. Frequently, time is very important with business documents, merchandise or spare parts for an urgent repair. On some routes, the larger companies have their own planes, but for other routes and smaller firms there was a problem. If they sent things by air freight, on some routes it may have taken days to get through unloading and customs. The only way to get it through faster was to send it as checked luggage. Airline regulations will not allow them to send luggage without a passenger, which is where you come in."", ""2_0"": ""###Question:\nWann muss ein Begleiter die Lieferung begleiten?"", ""2_1"": ""###Options:\n1. Wenn Dinge über Luftfracht versendet werden\n2. Wenn die Firma eigene Flugzeuge einsetzt\n3. Wenn Dinge als aufgegebenes Gepäck versendet werden\n4. Wenn die Lieferung über eine größere Firma erfolgt""}","[""Kurierfirmen werden für die schnelle Lieferung von Dingen gut bezahlt. Häufig ist die Zeit ein sehr wichtiger Faktor bei Unternehmensdokumenten, Handelswaren oder Ersatzteilen für dringende Reparaturen. Auf einigen Routen setzen die größeren Firmen ihre eigenen Flugzeuge ein, aber auf anderen Routen und bei kleineren Firmen traten Schwierigkeiten auf. Wenn sie Dinge via Luftfracht versendeten, konnten die Entladung und die Zollabfertigung auf einigen Routen mehrere Tage in Anspruch nehmen. Die einzige Möglichkeit, es schneller durchzubekommen, bestand darin, es als aufgegebenes Gepäck zu versenden. Die Vorschriften der Fluggesellschaften erlauben es nicht, Gepäck ohne einen Passagier zu versenden, und da kommen Sie ins Spiel."", ""3""]"
031,031_1959,"Read the following passage, and follow the given steps.","{""1"": ""Transate the given text to English."", ""2"": ""Based on the text you have translated in step#1 and solve the question. Return the answer in <task2>N<task2/> format.""}","{""1_0"": ""###Text\nDie Band brach den Auftritt im War-Memorial-Stadion von Maui ab, der von 9.000 Leuten besucht werden sollte, und entschuldigte sich bei den Fans. Die Managementfirma der Band, HK Management Inc., gab keinen anfänglichen Grund an, als sie am 20. September absagte, machte aber bereits am nächsten Tag logistische Gründe dafür verantwortlich."", ""2_0"": ""###Question:\nWho eventually provided an explanation regarding the cancellation of the event?"", ""2_1"": ""###Options:\n1. The band\n2. The management company\n3. The owner of the War Memorial Stadium\n4. The fans""}","[""The band canceled the show at Maui's War Memorial Stadium, which was set to be attended by 9,000 people, and apologized to fans. The band's management company, HK Management Inc., gave no initial reason when they canceled on September 20, but blamed logistical reasons by the next day."", ""2""]"
036,036_599,"Read the following passage, and follow the given steps.","{""1"": ""Read through the given text and translate it to French."", ""2"": ""Summarize the text you have translated it step#1.""}","{""1_0"": ""###Text\nAs stated, the attachment you feel to an ex is what makes breakups so difficult. You end up feeling lonely and isolated when this person is suddenly out of your life. Work on forming closer relationships with friends and family members to fill in the gap your ex left.  Relying on people can actual require some training on your part. You might have to force yourself to call your mom or your best friend after a bad day instead of your ex. However, once you learn to rely on these people over your ex he'll be easier to forget.  Remind yourself your ex is not the only person in your life who loves you and who you feel close to. Being single does not have to mean being alone. Having this realization can help you heal and move forward with your life. Do not jump into a new relationship after a bad breakup. This can make you want your ex more. However, casual dating in the wake of a bad breakup can actually help you move forward. It reminds you that you are attractive, desirable, and will find someone again.  Go on casual, fun dates. Have a friend set you up. Attend a singles mixer. Try creating on online dating profile.  Remind yourself you're not necessarily seeking out the love of your life, but rather trying to have fun and date around while you're single. This can help you shift romantic focus away from your ex and out into the world of potential matches. If you have preexisting issues with depression and anxiety, you may need the assistance of a therapist to get over your ex. You can ask for a referral for a therapist from your primary doctor. You can also get a list of therapists from your insurance providers. If you're a student, you may be entitled to free counseling from your college or university.""}","[""Comme il a été dit plus tôt, c'est à cause de l'attachement que vous avez envers votre ex que la rupture est difficile à surmonter. Vous allez vous sentir isolée et esseulée lorsque cette personne quittera brusquement votre vie. Pour cette raison, vous devez vous efforcer de nouer des liens plus forts avec les membres de votre famille ainsi que vos amis pour combler le vide laissé par votre ex.  En fait, il vous faudra peut-être apprendre à compter sur les autres. Vous devrez peut-être vous obliger à appeler votre meilleur ami ou votre mère après avoir eu une mauvaise journée au lieu de faire appel à votre ex. Une fois que vous aurez appris à compter sur ces personnes plutôt que sur votre ancien partenaire, ce dernier sera bien plus facile à oublier . N'oubliez pas que votre ex n'est pas le seul dans votre vie qui vous aime et dont vous pouvez vous sentir proche. Le fait que vous soyez célibataire ne doit pas impliquer que vous devez être seule. Si vous réalisez cela, vous devriez avoir plus de facilité à guérir et à aller de l'avant . Il ne s'agit pas de plonger dans une nouvelle relation juste après une rupture. Ceci pourrait au contraire vous donner encore plus envie de récupérer votre ex. Par contre, le fait d'avoir des rendez-vous à l'occasion après une rupture difficile peut en fait vous aider à aller de l'avant. Cela vous rappellera que vous êtes belle et désirable, tout en vous aidant à trouver quelqu'un.  Allez à des rendez-vous décontractés et amusants. Demandez par exemple à un ami de vous mettre en contact avec quelqu'un ou participez à une rencontre de célibataires. Essayez également de créer un profil en ligne sur un site de rencontre . Gardez à l'esprit que vous n'êtes pas en train de chercher l'amour de votre vie, mais que vous voulez plutôt vous amuser et flirter pendant que vous êtes célibataire. Cela pourrait vous aider à ne plus vous focaliser sur votre ex et à prêter attention aux potentiels candidats qu'il y a sur le marché . Si vous aviez déjà des problèmes d'anxiété et de dépression auparavant, il vous faudra peut-être recevoir l'aide d'un thérapeute avant de parvenir à oublier votre ancien partenaire. Vous avez donc la possibilité de demander à votre médecin personnel de vous recommander un bon thérapeute. D'un autre côté, vous pouvez aussi demander à vos prestataires de services d'assurance de vous fournir une liste de thérapeutes. Si vous étudiez toujours, votre université ou votre lycée pourrait vous fournir des séances de conseils gratuites ."", ""Communiquez avec les membres de votre famille et vos amis. Ayez occasionnellement des rendez-vous. Consultez un thérapeute si cela s'avère nécessaire.""]"
041,041_45805,"Read the following passage, and follow the given steps.","{""1"": ""Summarize the given text. Do not change the language."", ""2"": ""Translate the text you have summarized in step#1 to English.""}","{""1_0"": ""###Text\nVous devez le faire sur toute nouvelle plante avant qu'elle ne soit introduite dans votre jardin. Recherchez de petits insectes ronds de couleur blanche et recouverts de cire. Si vous voyez des cochenilles sur de nouvelles plantes, retirez-les et jetez-les. S'il y en a beaucoup sur la plante, il vous faudra peut-être jeter cette plante ou la retourner à l'endroit où vous l'aviez achetée .  Veillez à ne jamais introduire une plante dans votre jardin si elle est infestée de cochenilles. Vous éviteriez ainsi de contaminer les autres. Il est plus facile de prévenir les grandes infestations si vous vous évertuez à éliminer les petites apparitions de façon régulière. Si vous voyez cet insecte sur une plante, retirez-le avec vos mains. Au cas où cette plante serait plus sérieusement infestée, retirez-la du jardin afin d'éviter de répandre l'infestation . Il se peut que ces insectes s'entassent sur les outils comme les pelles, les pinces à plante et les pots. Il faut toujours vérifier la présence de cochenilles sur vos outils et éviter de les utiliser si vous en trouvez, afin de ne pas les laisser envahir d'autres plantes . Un taux élevé d'azote peut créer un terrain favorable à la reproduction plus rapide des cochenilles. Si l'engrais azoté n'est pas nécessaire pour vos plantes, optez plutôt pour un engrais sans azote .""}","[""Vérifiez bien la présence de cochenilles. Vérifiez régulièrement la présence de cochenilles sur vos plantes. Débarrassez-vous de vos outils de jardinage s'ils en sont infestés. Évitez si possible d'utiliser l'azote pour la fertilisation de vos plantes."", ""Inspect new plants for mealybugs before you introduce them to your garden. Check your plants for mealybugs regularly. Throw away garden tools that are infested with mealybugs. Avoid fertilizing your plants with nitrogen if possible.""]"
